label;birth date;death date
Jasmine You;1979-03-08;2009-08-09
Jason Molina;1973-12-30;2013-03-16
Jason Sears;1968-01-23;2006-01-31
Jason Thirsk;1967-12-25;1996-07-29
Jasper Bisbee;1843-07-29;1935-08-10
Jasper Taylor;1894-01-01;1964-11-07
Javier Krahe;1944-03-30;2015-07-12
Javier Mora Godinez;1927-02-27;1999-03-21
Javier Ruiz Rueda;1909-03-18;1993-09-08
Javier Solís;1931-09-01;1966-04-19
Jay Bennett;1963-11-15;2009-05-24
Jay Dee Springbett;None;2011-06-30
Jay E. Welch;1925-11-06;2008-12-15
Jay Epae;1933-03-07;1994-07-25
Jay Jostyn;1905-12-13;1977-07-24
Jay Lee Webb;1937-02-12;1996-07-31
Jay McShann;1916-01-12;2006-12-07
Jay Migliori;1930-11-14;2001-09-02
Jay Owens (musician);1947-09-06;2005-11-26
Jay Reatard;1980-05-01;2010-01-13
Jay Traynor;1943-03-30;2014-01-02
Jaya Pathirana;None;2000-05-25
Jaya Thyagarajan;['1954-12-29', '1956-12-29'];2012-05-12
Jayanta Hazarika;1943-09-20;1977-10-15
Jaybird Coleman;1896-05-20;1950-01-28
Jaymala Shiledar;1926-08-21;2013-08-08
Jayne Cortez;1934-05-10;2012-12-28
Jayne Walton Rosen;None;2010-01-10
Jazz Gillum;1904-09-11;1966-03-29
Jean-Alexandre Talazac;1851-05-06;1896-12-26
Jean-Baptiste Arban;1825-02-28;1889-04-08
Jean-Baptiste Coye;1711-06-06;1771-02-17
Jean-Baptiste Drouart de Bousset;None;1725-10-03
Jean-Baptiste Labelle;None;1898-09-09
Jean-Baptiste Rey;1734-12-18;1810-07-15
Jean-Baptiste Weckerlin;1821-11-09;1910-05-20
Jean-Blaise Martin;1768-02-24;1837-10-28
Jean-Delphin Alard;1815-03-08;1888-02-22
Jean-François Berthelier;1830-12-14;1888-09-29
Jean-François Dagenais;1975-10-16;1975-10-16
Jean-François Delmas (bass-baritone);1861-04-14;1933-09-29
Jean-François Jenny-Clark;1944-07-12;1998-10-06
Jean-Joseph Rodolphe;1730-10-14;1812-08-12
Jean-Laurent Kopp;1812-11-08;1872-09-23
Jean-Louis Boisselot;1782-08-18;1847-05-21
Jean-Louis Martinet;1912-11-08;2010-12-20
Jean-Louis Tulou;1786-09-12;1865-07-23
Jean-Marie Beaudet;1908-02-20;1971-03-19
Jean-Marie Leclair the younger;None;1777-11-30
Jean-Marie Plum;1899-06-30;1944-03-28
Jean-Michel Damase;1928-01-27;2013-04-21
Jean-Paul Mauric;1933-06-17;1971-01-05
Jean-Pierre Duport;1741-11-27;1818-12-31
Jean-Pierre Kemmer;1923-12-08;1991-12-21
Jean-Pierre Solié;None;1812-08-06
Jean-Vital Jammes;1825-04-28;1893-06-15
Jean-Étienne-Auguste Massol;1802-08-23;1887-10-30
Jean-Étienne Despréaux;1748-08-31;1820-03-26
Jean Aberbach;1910-08-12;1992-05-24
Jean Adebambo;1962-07-01;2009-01-15
Jean Borthayre;1901-05-25;1984-04-25
Jean Carignan;1916-12-07;1988-02-16
Jean Casadesus;1927-07-17;1972-01-20
Jean Catoire;1923-04-01;2005-11-09
Jean Chantavoine;1877-05-17;1952-07-16
Jean Chapel;1925-03-06;1995-08-19
Jean Danican Philidor;None;1679-09-08
Jean Deslauriers;1909-06-24;1978-05-30
Jean Dinning;1924-03-29;2011-02-22
Jean Elleviou;1769-06-14;1842-05-05
Jean Ferrat;1930-12-26;2010-03-13
Jean Geissinger;1934-06-25;2014-06-08
Jean Girard;1696-08-08;1765-02-23
Jean Goldkette;1893-03-18;1962-03-24
Jean Havez;1869-12-24;1925-02-11
Jean Hubeau;['1917-06-22', '1917-07-22'];1992-08-19
Jean Joseph Bott;1826-03-09;1895-04-28
Jean Karat;None;2003-12-07
Jean Louis Gobbaerts;1835-09-28;1886-05-05
Jean Madeira;1918-11-14;1972-07-10
Jean Murai;1913-04-11;2007-09-28
Jean Noté;1858-05-06;1922-04-01
Jean Paul Kürsteiner;1864-07-08;1943-03-19
Jean Pougnet;1907-07-20;1968-07-14
Jean Prosper Guivier;1814-03-12;1862-11-18
Jean Périer;1869-02-02;1954-11-03
Jean Redcliffe-Maud;None;1993-11-06
Jean Redpath;1937-04-28;2014-08-21
Jean Ritchie;1922-12-08;2015-06-01
Jean Rogister;1879-10-25;1964-03-20
Jean Serge Essous;None;2009-11-25
Jean Sinoël;1868-08-13;1949-08-30
Jean Ter-Merguerian;1935-10-05;2015-09-29
Jean Vallée;1941-10-02;2014-03-12
Jean Vieuille;1902-02-14;1967-04-06
Jean Wiener;1896-03-19;1982-06-08
Jeanette Loff;1906-10-09;1942-08-04
Jeanette Schmid;1924-11-06;2005-03-09
Jeanette Williams;1914-06-11;2008-10-24
Jeanette Wässelius;1784-08-23;1853-12-05
Jeanne-Marie Marsan;None;1807-02-25
Jeanne Behrend;1911-05-11;1988-03-20
Jeanne Black;1937-10-25;2014-10-23
Jeanne Gordon;None;1952-02-22
Jeanne Lee;1939-01-29;2000-10-25
Jeanne Napoli;1938-10-26;2010-10-24
Jeannette Obstoj;1949-06-05;2015-03-26
Jef Gilson;1926-07-25;2012-02-05
Jeff Alexander;1910-07-02;1989-12-23
Jeff Banks (musician);1927-06-07;1997-01-31
Jeff Buckley;1966-11-17;1997-05-29
Jeff Chance;1954-12-13;2008-12-12
Jeff Clyne;1937-01-29;2009-11-16
Jeff Golub;1955-04-15;2015-01-01
Jeff Hanneman;1964-01-31;2013-05-02
Jeff Hanson;1978-03-03;2009-06-05
Jeff Healey;1966-03-25;2008-03-02
Jeff James;1941-09-29;2006-05-07
Jeff Porcaro;1954-04-01;1992-08-05
Jeff Ward (musician);1962-11-18;1993-03-19
Jeffrey Anderson (radio producer);1928-04-26;2014-03-18
Jeffrey Skitch;1927-09-16;2013-03-07
Jeffri W. Bantz;1954-04-05;2006-07-31
Jelly Roll Morton;1890-10-20;1941-07-10
Jelly d'Arányi;1893-05-30;1966-03-30
Jemal Gokieli;1920-07-04;1991-04-14
Jennell Hawkins;1938-04-08;2006-10-13
Jennie Macandrew;1866-09-06;1949-12-24
Jennifer Worth;1935-09-25;2011-05-31
Jenny Hill (music hall performer);None;1896-06-28
Jenny Lou Carson;1915-01-13;1978-12-16
Jenny Ross;None;2004-11-20
Jens Book-Jenssen;1910-11-14;1999-03-28
Jens Gunderssen;1912-05-19;1969-12-11
Jens Winther;1960-10-29;2011-02-24
Jeremias Nguenha;1972-03-19;2007-05-04
Jeremy Lloyd;1930-07-22;2014-12-23
Jeremy Michael Ward;1976-05-05;2003-05-25
Jeri Southern;1926-08-05;1991-08-04
Jermaine Stewart;1957-09-07;1997-03-17
Jerome Cooper;1946-12-14;2015-05-06
Jerome Don Pasquall;1902-09-20;1971-10-18
Jerome Evans (singer);1938-03-11;2003-11-30
Jerome H. Remick;1867-11-15;1931-07-15
Jerome Roche;1942-05-22;1994-06-02
Jerome Smith (musician);1953-06-18;2000-07-28
Jerry Adler (harmonica player);1918-10-30;2010-03-13
Jerry Blake;1908-01-23;1961-12-31
Jerry Bock;1928-11-23;2010-11-03
Jerry Burke;1911-07-26;1965-02-13
Jerry Byrd;1920-03-09;2005-04-11
Jerry Byrne (singer);1941-02-02;2010-04-07
Jerry Capehart;1928-08-22;1998-06-07
Jerry Cole;1939-09-23;2008-05-28
Jerry Edmonton;1946-10-24;1993-11-28
Jerry Fielding;1922-06-17;1980-02-17
Jerry Finn;1969-03-31;2008-08-21
Jerry Fuchs;1974-12-31;2009-11-08
Jerry Garcia;1942-08-01;1995-08-09
Jerry Goldsmith;1929-02-10;2004-07-21
Jerry Gray (arranger);1915-07-03;1976-08-10
Jerry Holland;1955-02-23;2009-07-16
Jerry Lynn Williams;1948-01-01;2005-11-25
Jerry Masucci;1934-10-07;1997-12-21
Jerry McCain;1930-06-18;2012-03-28
Jerry Nolan;1946-05-07;1992-01-14
Jerry Ragovoy;1930-09-04;2011-07-13
Jerry Reed;1937-03-20;2008-09-01
Jerry Ricks;1940-05-22;2007-12-10
Jerry Rivers;1928-08-28;1996-10-04
Jerry Ross (composer);1926-03-09;1955-11-11
John Elwood Price;1935-06-21;1995-05-09
John Fahey (musician);1939-02-28;2001-02-22
John Farnsworth Hall;1899-08-11;1987-06-15
John Farrell (poet);1968-05-22;2010-11-04
John Forsell;1868-11-06;1941-05-30
John Freckleton Burrowes;1787-04-23;1852-03-31
John Fred;1941-05-08;2005-04-14
John Frederick Coots;1897-05-02;1985-04-08
John Fry (record producer);None;2014-12-18
John Fryatt;1927-07-07;2011-01-07
John Fuller (singer);1850-06-26;1923-05-09
John G. Blowers Jr.;1911-04-21;2006-07-17
John Gary;1932-11-29;1998-01-04
John Gerrish;1910-08-14;2010-11-29
John Gilmore (musician);1931-09-28;1995-08-29
John Glascock;1951-05-02;1979-11-17
John Goodall Snetsinger;1833-10-13;1909-12-09
John Graas;1917-03-14;1962-04-13
John Grass;None;1918-05-10
John Guerin;1939-10-31;2004-01-05
John Gustafson (musician);1942-08-08;['2014-09-11', '2014-09-12']
John H. Buschemeyer;1869-02-24;1935-10-07
John H. Lee;None;1890-09-07
John Handcox;1904-02-05;1992-09-18
John Hardee;None;1984-05-18
John Hartford;1937-12-30;2001-06-04
John Harvey Gahan;1888-08-20;1958-03-24
John Hawkins (Canadian composer);1944-07-26;2007-01-14
John Hawkins (author);1719-03-29;1789-05-21
John Herald;1939-09-06;2005-07-18
John Hicks (jazz pianist);1941-12-21;2006-05-10
John Hodges (minstrel);None;1891-04-23
John Holt (singer);1947-07-11;2014-10-19
John Hosier;1928-11-18;2000-03-28
John Hoyland (organist);None;1827-01-18
John Hubbard Beecher;1927-02-08;1987-08-06
John Hughey;1933-12-27;2007-11-18
John Husband;None;1919-11-05
John Jackson (blues musician);1924-02-24;2002-01-20
John James Hattstaedt;1851-12-29;1931-11-30
John Jarrard;1953-05-07;2001-02-01
John Jenkins (jazz musician);1931-01-03;1993-07-12
John Jennings (musician);1953-11-22;2015-10-16
John Kahn;1947-06-13;1996-05-30
John Kameaaloha Almeida;1897-11-28;1985-10-09
John Kelday Smith;None;1889-06-12
John Kellette;None;1922-08-07
John Kentish;1910-01-21;2006-10-26
John Kettleband;1801-07-22;1834-04-03
John Kiley;1912-11-01;1993-07-15
John Kimmel (accordionist);1866-12-13;1942-09-18
John King (musician);1947-01-04;2010-10-26
John King (ukulelist);1953-10-13;2009-04-03
John Kirby (musician);1908-12-31;1952-06-14
John Kirkpatrick (pianist);1905-03-18;1991-11-08
John Kotelawala;1895-04-04;1980-10-02
John L. Nelson;1916-06-29;2001-08-25
John Laurence Seymour;1893-01-18;1986-02-01
John Lee Hooker;1917-08-22;2001-06-21
John Lennon;1940-10-09;1980-12-08
John Letsinger;1911-11-17;2002-01-31
John Levy (musician);1912-04-11;2012-01-20
John Lewis (pianist);1920-05-03;2001-03-29
John Littlejohn;1931-04-16;1994-02-01
John Locke (musician);1943-09-25;2006-08-04
John Loder (sound engineer);1946-04-07;2005-08-12
John Lomax;1867-09-23;1948-01-26
John Louis Nayar;1924-04-18;2011-05-03
John Luchsinger;1839-06-29;1922-04-23
John Lyon (poet);1803-03-04;1889-11-28
John M. Gaver Sr.;1900-10-29;1982-07-11
John M. Watson Sr.;1937-01-10;2006-09-07
John MacMurray;1958-12-30;2006-08-20
John Malachi;1919-09-06;1987-02-11
John Malchair;None;1812-11-12
John Martyn;1948-09-11;2009-01-29
John Mayer (composer);1930-10-28;2004-03-09
John Mayhew (musician);1947-03-27;2009-03-26
John McClure (producer);1929-06-28;2014-06-17
John McGeoch;1955-08-25;2004-03-04
John McKenna (flautist);1880-01-06;1947-11-26
John McLevy;1927-01-02;2002-11-27
John Mehegan;1916-06-06;1984-04-03
John Messinger;1771-01-04;1846-09-16
John Milton Ward IV;1917-07-06;2011-12-12
John Mitchum;1919-09-06;2001-11-29
John Modinos;None;2011-01-11
John Mole (musician);1949-04-25;2006-08-01
John Muir Wood;1805-07-31;1892-06-25
John Mundy (composer);None;1630-06-29
John Murphy (musician);1959-07-11;2015-10-11
John Murray (playwright);1906-10-12;1984-06-17
John Murray Anderson;1886-09-20;1954-01-30
John Murrell (bandit);None;1844-11-21
John Ness Beck;1930-11-11;1987-06-25
John Noble (baritone);1931-01-02;2008-03-21
John O'Banion;1947-02-16;2007-02-14
John O'Brien (priest);1931-05-30;2008-01-06
John Ore;1933-12-17;2014-08-22
John Panozzo;1948-09-20;1996-07-16
John Patton (musician);1935-07-12;2002-03-19
John Pearse;1939-09-12;2008-10-31
John Petersen (musician);1942-01-08;2007-11-11
John Phillips (musician);1935-08-30;2001-03-18
John Platt (settler);1632-01-11;1705-11-06
John Powell (musician);1882-09-06;1963-08-15
John Prindle Scott;1877-08-16;1932-12-02
John R. Musick;1849-02-28;1901-04-14
John R. T. Davies;1927-03-20;2004-05-25
John Raymond Jr.;1665-09-09;1737-04-12
John Redmond (songwriter);1906-02-25;1982-08-26
John Renbourn;1944-08-08;2015-03-26
John Rhys Evans;1930-09-05;2010-01-02
John Roache;None;1999-03-03
John Rostill;1942-06-16;1973-11-26
John Rutsey;1952-07-23;2008-05-11
John S. Beckett;1927-02-05;2007-02-05
John S. Wilson (music critic);1913-01-06;2002-08-27
John Sanders (musician);1933-11-23;2003-12-23
John Sangster;1928-11-17;1995-10-26
John Schlesinger;1926-02-16;2003-07-25
John Scott (organist);1956-06-18;2015-08-12
John Scott Trotter;1908-06-14;1975-10-29
John Sebastian (classical harmonica player);1914-04-25;1980-08-18
John Sekula;['1961-01-14', '1969-01-14'];2010-10-28
John Shaw (baritone);1924-10-12;2003-02-24
John Shaw (broadcaster);1957-08-15;2013-11-25
John Simmons (conductor);1943-04-14;1988-03-16
John Simmons (musician);['1918-06-11', '1918-06-14'];1979-09-19
John Simoneaux;1967-04-24;2000-01-17
John Singer (homeschooler);1931-01-06;1979-01-18
John Singer Sargent;1856-01-12;1925-04-14
John Siomos;1947-07-30;2004-01-16
John Spence (musician);1969-02-03;1987-12-21
John Spikes;1881-07-22;1955-06-28
John Steel (singer);1895-01-11;1971-06-25
John Stevens (drummer);1940-06-10;1994-09-13
John Stewart (musician);1939-09-05;2008-01-19
John Storm Roberts;1936-02-24;2009-11-29
John Stuart Mill;1806-05-20;1873-05-08
John Stubblefield;1945-02-04;2005-07-04
John T. Fesperman;None;2001-06-02
John T. Smith (blues musician);None;1940-06-30
John Tasker Howard;1890-11-30;1964-11-20
John Taylor (Geordie songwriter);None;1891-12-24
John Taylor (jazz);1942-09-25;2015-07-17
John Tchicai;1936-04-28;2012-10-08
John Templeton (opera singer);None;1886-07-02
John Trunley;1898-10-14;1944-09-30
John Valentine (composer);1730-06-07;1791-09-10
John W. Peterson;1921-11-01;2006-09-20
John Walker (musician);1943-11-12;2011-05-07
John Walsh (printer);None;1736-03-13
John Waterhouse (violinist);1877-10-28;1970-05-22
John White (singer);1902-04-12;1992-11-26
John Whitehead (singer);1948-07-10;2004-05-11
John William Boone;1864-04-17;1927-10-04
John Witmer;None;2004-07-03
John Young (jazz pianist);1922-03-16;2008-04-16
John Younger;None;1874-03-17
John van Kesteren;1921-05-04;2008-07-11
Johnnie Bassett;1935-10-09;2012-08-04
Johnnie Davis;1910-04-11;1983-10-28
Johnnie High;1929-05-01;2010-03-17
Johnnie Johnson (musician);1924-07-08;2005-04-13
Johnnie Johnston;1915-12-01;1996-01-06
Johnnie Mae Matthews;1922-12-31;2002-01-06
Johnnie Ray;1927-01-10;1990-02-24
Johnnie Taylor;1934-05-05;2000-05-31
Johnnie Wright;1914-05-13;2011-09-27
Johnny Big Moose Walker;1927-06-27;1999-11-27
Johnny Country Mathis;1930-09-28;2011-09-27
Johnny Guitar Watson;1935-02-03;1996-05-17
Johnny Hammond Smith;1933-12-16;1997-06-04
Johnny J;1969-08-28;2008-10-03
Johnny Man Young;1918-01-01;1974-04-18
Johnny Yard Dog Jones;1941-06-21;2015-09-16
Johnny Ace;1929-06-09;1954-12-25
Johnny Adams;1932-01-05;1998-09-14
Johnny Alf;1929-05-19;2010-03-04
Johnny Almond;1946-07-20;2009-11-18
Johnny Austin;1910-12-23;1983-02-14
Johnny Barfield;1909-03-03;1974-01-16
Johnny Bayersdorffer;1899-09-04;1969-11-14
Johnny Bode;1912-01-06;1983-07-25
Johnny Bond;1915-06-01;1978-06-12
Johnny Bothwell;1919-05-23;1995-09-12
Johnny Bristol;1939-02-03;2004-03-21
Johnny Burke (lyricist);1908-10-03;1964-02-25
Johnny Burnette;1934-03-25;1964-08-14
Johnny Carroll;1937-10-23;['1995-01-13', '1995-02-18']
Johnny Carter (singer);1934-06-02;2009-08-21
Johnny Cash;['1930-02-26', '1932-02-26'];2003-09-12
Johnny Coles;1926-07-03;1997-12-21
Johnny Collins;1938-05-10;2009-07-06
Johnny Cook;1949-03-22;2000-05-14
Johnny Copeland;1937-03-27;1997-07-03
Johnny Costa;1922-01-17;1996-10-11
Johnny Cunningham;1957-08-27;2003-12-15
Johnny Cymbal;1945-02-03;1993-03-16
Johnny Darrell;1940-07-23;1997-10-07
Johnny Desmond;1919-11-14;1985-09-06
Johnny Dollar (musician);1922-03-08;1986-04-13
Johnny Doran;None;['1950-01-09', '1950-01-19']
Johnny Duncan (country singer);1938-10-05;2006-08-14
Johnny Dyani;1945-11-30;1986-10-24
Johnny Dyer;1938-12-07;2014-11-11
Johnny Franz;1922-02-23;1977-01-29
Johnny Frigo;1916-12-27;2007-07-04
Johnny Fuller (musician);1929-04-20;1985-05-20
Johnny Gimble;1926-05-30;2015-05-09
Johnny Green;1908-10-10;1989-05-15
Johnny Griffin;1928-04-24;2008-07-25
Johnny Griffith (musician);1936-07-10;2002-11-10
Johnny Guarnieri;1917-03-23;1985-01-07
Johnny Harra;1946-07-11;2011-03-30
Johnny Hartman;1923-07-03;1983-09-15
Johnny Heartsman;1937-02-09;1996-12-27
Johnny Helms;1935-02-10;['2015-03-27', '2015-03-31']
Johnny Hodges;1906-07-25;1970-05-11
Johnny Horton;1925-04-30;1960-11-05
Johnny Jackson (musician);1951-03-03;2006-03-01
Johnny Jenkins;1939-03-05;2006-06-26
Johnny Jordaan;1924-02-07;1989-01-08
Johnny Keating;1927-09-10;2015-05-28
Johnny Kemp;1959-08-02;2015-04-16
Johnny Kidd (singer);1935-12-23;1966-10-07
Johnny Laboriel;1942-07-09;2013-09-18
Johnny Letman;1917-09-06;1992-07-17
Johnny Long (musician);1914-09-12;1972-10-31
Johnny Loughrey;1945-07-20;2005-04-13
Johnny Lytle;1932-10-13;1995-12-15
Johnny Martyn;1934-07-16;2007-03-19
Johnny Marvin;1897-07-11;1944-12-10
Johnny Meijer;1912-10-01;1992-01-08
Johnny Mercer;1909-11-18;1976-06-25
Johnny Mince;1912-07-08;1994-12-23
Johnny Moore (singer);1934-12-14;1998-12-30
Johnny Moore (trumpeter);1938-10-05;2008-08-16
Johnny Mooring;1927-05-17;1974-03-28
Johnny Noble;1892-09-17;1944-01-13
Johnny O'Keefe;1935-01-19;1978-10-06
Johnny O'Leary;1923-06-06;2004-02-09
Johnny Otis;1921-12-28;2012-01-17
Johnny Parker (jazz pianist);1929-11-06;2010-06-11
Johnny Paycheck;1938-05-31;2003-02-19
Johnny Pearson;1925-06-18;2011-03-20
Johnny Preston;1939-08-18;2011-03-04
Johnny Ramone;1948-10-08;2004-09-15
Johnny Rebb;1939-03-20;2014-07-28
Johnny Ringo (musician);None;2005-07-01
Johnny Roadhouse;1921-01-13;2009-04-11
Johnny Ross;None;2006-02-09
Johnny Russell (saxophonist);1909-06-04;1991-07-26
Johnny Russell (singer);1940-01-23;2001-07-03
Johnny Răducanu;1931-12-01;2011-09-19
Johnny Scott (jazz musician);None;2010-04-20
Johnny Shines;1915-04-26;1992-04-20
Johnny Silvo;1936-12-02;2011-12-18
Johnny Smith;1922-06-25;2013-06-11
Johnny St. Cyr;1890-04-17;1966-06-17
Johnny Stark (talent manager);1922-08-29;1989-04-24
Johnny Temple (musician);1906-10-18;1968-11-22
Johnny Thunders;1952-07-15;1991-04-23
Johnny Tyler;1918-02-06;1961-09-25
Johnny Vincent;1927-10-03;2000-02-04
Johnny Wiggs;1899-07-25;1977-10-10
Johnny Williams (blues musician);1906-05-15;2006-03-06
Johnny Williams (drummer);1905-11-15;1985-10-19
Johnny Windhurst;1926-11-05;1981-10-02
Johnny Winter;1944-02-23;2014-07-16
Johnny Woods;1917-11-01;1990-02-01
Johnson (composer);1953-03-26;2011-08-18
Joi Srivastava;1930-01-01;2003-12-06
Jokkmokks-Jokke;1915-05-25;1998-06-15
Jolyon Jackson;1948-09-03;1985-12-18
Jon Bunch;1970-10-25;2016-02-01
Jon Eardley;1928-09-30;1997-04-04
Jon Eydmann;1968-06-07;2009-09-02
Jon Lee (drummer);1968-03-28;2002-01-07
Jon Lord;1941-06-09;2012-07-16
Jon Lucien;1942-01-08;2007-08-14
Jon Marks;1947-07-11;2007-07-23
Jon Nödtveidt;1975-06-28;2006-08-13
Jon Vickers;1926-10-29;2015-07-10
Jon Weaving;None;2011-10-19
Jonah Jones;1909-12-31;2000-04-28
Jonathan May;1958-10-09;2010-02-27
Jonathan Melvoin;1961-12-06;1996-07-12
Jonathon Lee;1953-09-03;2004-10-03
Jonnie Barnett;None;2002-08-18
Jonny Dollar;1964-02-20;2009-05-29
Jonče Hristovski;None;2000-04-05
Jordan Christopher;['1940-10-23', '1942-10-23'];1996-01-21
Jorge Lobito Martínez;1952-05-11;2003-01-10
Jorge Amado;1912-08-10;2001-08-06
Jorge Anckermann;None;1941-02-03
Jorge Cafrune;1937-08-08;1978-02-01
Jorge Dalto;1948-07-07;1987-10-27
Jorge Galemire;1951-03-11;2015-06-06
Jorge Lazaroff;1950-02-28;1989-03-22
Jorge Negrete;1911-11-30;1953-12-05
Jorge Pedreros;1942-08-08;2013-09-14
Jorge Peixinho;1940-01-20;1995-06-30
Jorge Reyes (musician);1952-09-24;2009-02-07
Jorge Villamil;1929-06-06;2010-02-28
Jorge de la Vega;1930-03-27;1971-08-26
Jose Collins;1887-05-23;1958-12-06
Josef Antonín Plánický;1691-11-27;1732-09-17
Josef Berg;1927-03-08;1971-02-26
Josef Dachs;1825-09-30;1896-06-06
Josef František Munclinger;1888-09-13;1954-10-31
Josef Gostic;1900-03-05;1963-12-25
Josef Herrmann;1903-04-20;1955-11-19
Josef Lammerz;None;2014-01-08
Josef Lhévinne;1874-12-13;1944-12-02
Josef Marais;1905-11-17;1978-04-27
Josef Müller-Brockmann;1914-05-09;1996-08-30
Josef Neruda;1807-01-16;1875-02-18
Josef Pischna;1826-06-15;1896-10-19
Josef Proksch;1794-08-04;1864-12-20
Josef Staudigl;1807-04-14;1861-03-28
Josef Suk (violinist);1929-08-08;2011-07-06
Josef Traxel;1916-09-29;1975-10-08
Josef Wolfsthal;1899-06-12;1931-02-03
Josefa Moe;1933-05-01;2006-11-03
Josefin Nilsson;1969-03-22;2016-02-29
Josefina Pla;1903-11-09;1999-01-11
Joseph-A. Fowler;1845-11-14;1917-01-04
Joseph-Arthur Bernier;1877-03-19;1944-04-28
Joseph Achron;1886-05-13;1943-04-29
Joseph Ahrens;1904-04-17;1997-12-21
Joseph Alexandre Pierre de Ségur Viscount of Ségur;1756-04-14;1805-07-27
Joseph Allard;1910-12-31;1991-05-03
Joseph Antonio Emidy;None;1835-04-23
Joseph Beaulieu;1895-05-21;1965-10-01
Joseph Bennett (critic);1831-11-29;1911-06-12
Joseph Bloch;1917-11-06;2009-03-04
Joseph Boatner;1918-09-27;1989-05-08
Joseph Brooks (songwriter);1938-03-11;2011-05-22
Joseph Böhm;1795-04-04;1876-03-28
Joseph C. Smith;1883-08-13;1965-03-22
Joseph Caillot;1733-01-24;1816-09-30
Joseph Carl Breil;1870-06-29;1926-01-23
Joseph Christoph Kessler;1800-08-26;1872-01-14
Joseph Cooper;1912-10-07;2001-08-04
Joseph David Jones;None;1870-09-17
Joseph Dupont (violinist);1838-01-13;1899-12-21
Joseph E. Howard;['1867-02-12', '1878-02-12'];1961-05-19
Joseph E. Maddy;1891-10-14;1966-04-18
Joseph Edwards Carpenter;1813-11-02;1885-05-06
Joseph Gagnier;1854-04-05;1919-04-09
Joseph Gelineau;1920-10-31;2008-08-08
Joseph Graetz;1760-12-02;1826-07-17
Joseph Haas;1879-03-19;1960-03-30
Joseph Hellmesberger Sr.;1828-11-03;1893-10-24
Joseph Hill;1949-01-22;2006-08-19
Joseph Hislop;1884-04-05;1977-05-06
Joseph J. Daynes;1851-04-02;1920-01-15
Joseph J. Lilley;1913-08-16;1971-01-01
Joseph Kerman;1924-04-03;2014-03-17
Joseph Kosma;1905-10-22;1969-08-07
Joseph Kreutzer;1790-11-11;1840-06-16
Joseph Küffner;1776-03-31;1856-09-09
Joseph Labitzky;1802-07-04;1881-08-18
Joseph Legros;1739-09-08;1793-12-20
Joseph Merklin;1819-02-17;1905-07-10
Joseph Meyer (songwriter);1894-03-12;1987-06-22
Joseph Mosenthal;1834-11-30;1896-01-06
Joseph Panny;1796-10-23;1838-09-07
Joseph Payne (musician);1941-07-06;2008-01-14
Joseph Platt;1672-02-17;1748-06-12
Joseph Post;1906-04-10;1972-12-27
Joseph Primavera;1926-04-13;2006-10-14
Joseph Riepel;1709-01-22;1782-10-23
Joseph Royer;None;1965-08-10
Joseph Schalk;1857-03-24;1900-11-07
Joseph Schmidt;1904-03-04;1942-11-16
Joseph Schuster (composer);1748-08-11;1812-07-24
Joseph Spence (musician);1910-08-03;1984-03-18
Joseph Summers (musician);None;1917-10-10
Joseph Vandernoot;1914-10-18;1999-06-07
Joseph Vandor;1909-10-29;['1979-10-08', '1980-10-08']
Joseph Vidal (composer);1859-11-15;1924-12-18
Joseph Villa;1948-08-09;1995-04-13
Joseph Wechsberg;1907-08-29;1983-04-10
Joseph Willard Roosevelt;1918-01-16;2008-05-18
Joseph Willcox Jenkins;1928-02-15;2014-01-31
Joseph Yasser;1893-04-16;1981-09-06
Joseph von Blumenthal;1782-11-01;1850-05-09
Josepha Weber;None;1819-12-29
Josephine Antoine;1907-10-27;1971-10-30
Josephine Fröhlich;1803-12-12;1878-05-07
Josephine Lang;1815-03-14;1880-12-02
Josephine Schefsky;None;1912-11-11
Josephine de Reszke;1855-06-04;1891-02-22
Josette Daydé;1923-03-28;1995-03-04
Joseíto Fernández;1908-09-05;['1978-10-11', '1979-10-11']
Joseíto González;1940-11-01;1997-04-03
Josh Clayton-Felt;1967-05-18;2000-01-19
Josh Graves;1927-09-27;2006-09-30
Josh White;1914-02-11;1969-09-05
Josip Kašman;['1847-07-14', '1850-07-14'];1925-02-11
Josip Križaj (opera singer);1887-03-05;1968-07-30
José Agustín Ramírez Altamirano;1903-07-11;1957-09-12
José Alfredo Jiménez;1926-01-19;1973-11-23
José Antonio Bottiroli;1920-01-01;1990-03-15
José Ardévol;1911-03-13;1981-01-07
José Asunción Flores;1904-08-27;1972-05-16
José Barros;1915-03-21;2007-05-12
José Calvário;None;2009-06-17
José Carbajal (Uruguayan musician);1943-12-08;2010-10-21
José Carlos Schwarz;1949-12-06;1977-05-27
José Curbelo;1917-02-18;2012-09-21
José Dupuis;1833-03-18;1900-05-09
José Enrique Pedreira;1904-02-02;1959-01-06
José Feghali;1961-03-28;2014-12-09
José Fontes Rocha;1926-09-20;2011-08-15
José Guardiola;1930-10-22;2012-04-09
José Ignacio Quintón;1881-02-01;1925-12-19
José Ignacio de Márquez;1793-09-09;1880-03-21
José Luccioni;1903-10-14;1978-10-05
José Luis Moneró;1921-04-06;2011-02-15
José Luis Rodríguez Vélez;1915-03-12;1984-12-21
José María Melo;1800-10-09;1860-06-01
José María Obando;1795-08-08;1861-04-29
José María Palacios Moraza;1935-09-02;2002-04-02
José Messias;1928-10-07;2015-06-12
